UUUUU  0 ns
#1
UUUU1  6.10308 ns
U1UU1  6.644117 ns
01UU1  7.34804 ns
010U1  8.372429 ns
10101  2604.692145 ns
10100  2604.940648 ns
10110  2605.389847 ns
10111  2605.654526 ns
10011  2605.998395 ns
10010  2606.10308 ns
10000  2606.103725 ns
00000  2607.34804 ns
00100  2607.782245 ns
00110  2608.490977 ns
00111  2701.083376 ns
10111  2702.328336 ns
11111  2702.732656 ns
01111  2703.629493 ns
01110  2703.695037 ns
01100  2704.144236 ns
00100  2706.644117 ns
00000  2708.336783 ns
00001  2803.042865 ns
00000  2803.044208 ns
00010  2803.493407 ns
00011  2804.154106 ns
10011  2804.287825 ns
10001  2804.603305 ns
11001  2804.945355 ns
11000  2805.654526 ns
11001  2806.10308 ns
11011  2806.103725 ns
10011  2806.644117 ns
10111  2806.995703 ns
00111  2807.34804 ns
00101  2807.704435 ns
00100  2903.042865 ns
01100  2904.122588 ns
11100  2904.287825 ns
10100  2904.692145 ns
00100  2905.588982 ns
00000  2905.815254 ns
00100  2905.864908 ns
00110  2906.57364 ns
00111  3004.940648 ns
00101  3005.389847 ns
01101  3006.448928 ns
00101  3006.644117 ns
10101  3007.345765 ns
10001  3007.782245 ns
10101  3008.336783 ns
10111  3008.490977 ns
10110  3103.044208 ns
10100  3103.493407 ns
11100  3104.122588 ns
11000  3105.815254 ns
#2
11010  5.611022 ns
11011  6.11078 ns
11111  6.514784 ns
11011  6.708421 ns
10011  6.829665 ns
00011  7.697612 ns
01011  8.109022 ns
01001  8.967409 ns
01011  103.66643 ns
01010  104.166188 ns
01011  104.657248 ns
11011  104.840465 ns
11111  105.538238 ns
11101  105.611022 ns
11100  106.11078 ns
11000  106.514784 ns
01000  106.76255 ns
01100  106.845245 ns
00100  106.966489 ns
01100  107.17396 ns
01101  107.839775 ns
11101  108.022992 ns
11001  204.256028 ns
01001  205.527937 ns
01101  205.759945 ns
00101  205.939347 ns
00111  207.18116 ns
00110  207.680918 ns
00010  305.759945 ns
00110  307.066952 ns
00100  307.18116 ns
01100  307.188196 ns
01101  307.680918 ns
01100  308.171978 ns
01110  308.21257 ns
11110  308.355195 ns
11100  403.66643 ns
11101  404.166188 ns
11001  404.256028 ns
11000  404.657248 ns
01000  404.840465 ns
01100  405.759945 ns
01000  406.141594 ns
00000  406.262838 ns
00010  407.18116 ns
00011  407.680918 ns
00001  503.66643 ns
00000  504.166188 ns
00001  504.657248 ns
10001  504.840465 ns
10011  505.122621 ns
10010  505.622379 ns
10110  506.026383 ns
00110  506.76255 ns
01110  507.17396 ns
01100  507.18116 ns
01101  507.680918 ns
01111  508.479008 ns
01101  603.214236 ns
01100  603.713994 ns
01000  604.117998 ns
01010  605.272775 ns
01011  605.772533 ns
01001  606.570623 ns
01101  606.708421 ns
00101  606.829665 ns
00111  703.214236 ns
00110  703.713994 ns
00010  704.117998 ns
00000  705.272775 ns
00010  705.611022 ns
00110  706.514784 ns
10110  706.76255 ns
11110  707.17396 ns
11100  803.214236 ns
11101  803.713994 ns
11001  805.563035 ns
10001  805.684279 ns
10011  903.66643 ns
10010  904.166188 ns
10011  904.657248 ns
00011  904.840465 ns
00111  906.708421 ns
01111  906.829665 ns
11111  907.697612 ns
10111  908.109022 ns
10101  1003.66643 ns
10100  1004.166188 ns
10101  1004.657248 ns
00101  1004.840465 ns
00001  1005.759945 ns
00011  1007.18116 ns
00010  1007.680918 ns
10010  1007.697612 ns
11010  1008.109022 ns
11011  1008.171978 ns
11001  1008.21257 ns
01001  1008.355195 ns
01011  1103.214236 ns
01010  1103.713994 ns
01110  1104.117998 ns
01010  1105.538238 ns
01000  1105.611022 ns
01001  1106.11078 ns
11001  1106.462999 ns
11101  1106.514784 ns
10101  1106.874409 ns
10111  1108.967409 ns
10101  1303.214236 ns
10100  1303.713994 ns
10000  1305.759945 ns
10100  1306.141594 ns
11100  1306.262838 ns
01100  1307.130785 ns
00100  1307.542195 ns
00110  1308.21257 ns
00100  1403.214236 ns
00101  1403.713994 ns
00001  1404.117998 ns
00011  1405.122621 ns
00010  1405.622379 ns
00110  1406.026383 ns
00100  1503.66643 ns
00101  1504.166188 ns
00100  1504.657248 ns
10100  1504.840465 ns
10000  1506.708421 ns
11000  1506.829665 ns
01000  1507.697612 ns
00000  1508.109022 ns
00010  1603.214236 ns
00000  1603.996927 ns
00010  1605.122621 ns
10010  1605.527937 ns
10011  1605.622379 ns
11011  1605.939347 ns
11111  1606.026383 ns
01111  1607.697612 ns
00111  1608.109022 ns
00101  1608.479008 ns
00111  1703.214236 ns
00101  1703.996927 ns
00001  1704.117998 ns
00000  1704.987745 ns
00010  1705.122621 ns
10010  1705.170962 ns
10110  1705.473808 ns
11110  1705.595052 ns
11111  1705.622379 ns
11011  1706.026383 ns
01011  1706.462999 ns
00011  1706.874409 ns
00001  1803.214236 ns
00000  1803.713994 ns
00100  1804.117998 ns
10100  1805.527937 ns
11100  1805.939347 ns
11110  1806.570623 ns
11111  1806.605162 ns
01111  1806.788379 ns
01101  1903.214236 ns
01100  1903.713994 ns
01000  1904.117998 ns
01010  1905.272775 ns
01011  1905.772533 ns
01001  1906.570623 ns
01101  1906.708421 ns
00101  1906.829665 ns
00111  2003.66643 ns
00110  2004.166188 ns
00111  2004.657248 ns
10111  2004.840465 ns
10011  2005.759945 ns
10001  2007.18116 ns
10000  2007.680918 ns
00000  2007.697612 ns
01000  2008.109022 ns
01001  2008.171978 ns
01011  2008.21257 ns
11011  2008.355195 ns
11001  2105.611022 ns
11000  2106.11078 ns
11100  2106.514784 ns
11000  2106.708421 ns
10000  2106.829665 ns
00000  2107.697612 ns
01000  2108.109022 ns
01010  2108.967409 ns
01000  2205.122621 ns
01100  2205.473808 ns
00100  2205.595052 ns
00101  2205.622379 ns
00001  2206.026383 ns
00011  2207.18116 ns
00010  2207.680918 ns
00000  2208.479008 ns
00010  2403.214236 ns
00011  2403.713994 ns
00001  2405.122621 ns
00000  2405.622379 ns
00100  2406.026383 ns
00000  2406.129862 ns
01000  2406.251106 ns
11000  2406.76255 ns
10000  2407.17396 ns
