UUUUU  0 ns
#1
UUUU1  6.10308 ns
U1UU1  6.644117 ns
01UU1  7.34804 ns
010U1  8.372429 ns
10001  1006.723795 ns
11001  1007.083398 ns
01001  1009.388974 ns
01011  1102.617197 ns
01111  1103.109624 ns
00111  1103.196426 ns
01111  1103.997241 ns
01110  1104.530957 ns
00110  1105.755572 ns
10110  1106.302817 ns
10111  1106.772323 ns
00111  1303.201196 ns
01111  1303.925289 ns
11111  1304.457839 ns
10111  1305.68362 ns
00111  1306.230865 ns
00110  1306.66962 ns
00010  1307.87471 ns
00000  1308.076756 ns
00100  1308.569183 ns
00110  1309.338818 ns
00100  1402.617197 ns
00000  1403.109624 ns
01000  1403.196426 ns
11000  1403.201196 ns
01000  1404.457839 ns
01010  1404.96016 ns
01110  1405.452587 ns
00110  1405.539389 ns
10110  1503.201196 ns
10111  1503.943725 ns
11111  1504.303328 ns
11110  1505.51568 ns
10110  1505.520668 ns
00110  1505.981266 ns
00111  1506.723795 ns
01111  1507.083398 ns
00111  1507.278999 ns
10111  1507.944579 ns
10101  1508.184878 ns
10100  1508.687108 ns
00100  1509.388974 ns
00000  1509.470089 ns
00010  1602.617197 ns
00110  1603.109624 ns
01110  1603.196426 ns
11110  1604.457839 ns
11100  1604.96016 ns
11101  1605.200368 ns
11111  1606.515487 ns
11110  1606.772323 ns
10110  1607.278999 ns
00110  1609.201222 ns
00100  1609.441521 ns
00101  1609.943751 ns
00111  1702.617197 ns
00011  1703.109624 ns
01011  1703.196426 ns
00011  1703.997241 ns
00001  1704.96016 ns
00101  1705.452587 ns
10101  1706.302817 ns
10100  1706.772323 ns
10000  1707.946662 ns
00000  1709.201222 ns
00010  1709.441521 ns
00011  1709.943751 ns
10011  1804.457839 ns
10010  1804.530957 ns
10011  1805.200368 ns
11011  1805.559971 ns
11010  1805.653807 ns
11011  1806.772323 ns
11001  1807.060943 ns
11101  1807.55337 ns
01101  1807.865547 ns
01111  1809.441521 ns
11111  1903.201196 ns
01111  1904.457839 ns
01110  1904.530957 ns
00110  1905.520668 ns
00111  1905.653807 ns
00101  1907.060943 ns
01101  1907.083398 ns
00101  1907.278999 ns
00001  1907.55337 ns
00101  1909.470089 ns
10101  2003.201196 ns
10100  2003.804855 ns
10101  2003.943725 ns
11101  2004.303328 ns
11111  2004.96016 ns
11011  2005.452587 ns
11010  2005.51568 ns
10010  2005.520668 ns
00010  2005.981266 ns
00011  2006.723795 ns
01011  2007.083398 ns
11011  2009.388974 ns
11001  2102.617197 ns
11101  2103.109624 ns
10101  2103.196426 ns
10100  2104.326657 ns
11100  2105.520668 ns
11110  2106.995855 ns
01110  2107.826244 ns
01010  2109.470089 ns
01000  2202.617197 ns
01100  2203.109624 ns
00100  2203.196426 ns
00101  2203.804855 ns
01101  2203.997241 ns
11101  2204.457839 ns
11111  2204.96016 ns
11011  2205.452587 ns
10011  2205.559971 ns
00011  2206.233754 ns
00010  2206.66962 ns
00110  2207.946662 ns
00100  2208.076756 ns
00000  2208.569183 ns
00010  2402.617197 ns
00110  2403.109624 ns
01110  2403.196426 ns
11110  2403.201196 ns
01110  2404.457839 ns
01100  2404.96016 ns
11100  2405.981266 ns
11110  2406.515487 ns
11111  2406.723795 ns
10111  2407.083398 ns
10011  2409.285806 ns
00011  2409.388974 ns
10011  2503.201196 ns
10010  2503.804855 ns
10011  2503.943725 ns
10010  2505.51568 ns
11010  2505.68362 ns
11110  2507.87471 ns
11100  2602.617197 ns
11000  2603.109624 ns
10000  2603.196426 ns
00000  2603.201196 ns
10000  2604.457839 ns
10001  2604.530957 ns
10101  2605.387516 ns
00101  2606.959856 ns
00111  2607.200155 ns
00110  2607.702385 ns
10110  2703.201196 ns
10111  2703.943725 ns
11111  2704.303328 ns
11110  2705.51568 ns
10110  2705.520668 ns
00110  2705.981266 ns
00111  2706.723795 ns
01111  2707.083398 ns
00111  2707.278999 ns
10111  2707.944579 ns
10101  2708.184878 ns
10100  2708.687108 ns
00100  2709.388974 ns
00000  2709.470089 ns
00010  2802.617197 ns
00110  2803.109624 ns
01110  2803.196426 ns
11110  2804.457839 ns
11100  2804.96016 ns
11101  2805.200368 ns
11111  2806.515487 ns
11110  2806.772323 ns
10110  2807.278999 ns
00110  2809.201222 ns
00100  2809.441521 ns
00101  2809.943751 ns
10101  2904.457839 ns
10111  2904.920108 ns
10110  2905.200368 ns
10010  2905.412535 ns
11010  2905.499337 ns
10010  2905.559971 ns
10110  2907.690427 ns
00110  2907.865547 ns
00100  3002.617197 ns
00000  3003.109624 ns
01000  3003.196426 ns
01001  3004.326657 ns
00001  3005.520668 ns
00011  3006.995855 ns
10011  3007.826244 ns
10111  3009.470089 ns
10110  3104.530957 ns
10100  3104.920108 ns
10000  3105.412535 ns
11000  3105.499337 ns
11001  3105.653807 ns
11000  3106.772323 ns
11010  3107.060943 ns
11110  3107.55337 ns
11010  3107.690427 ns
11000  3109.441521 ns
#21
11100  3.650399 ns
11000  5.340737 ns
11010  6.463266 ns
11011  6.88455 ns
10011  7.146536 ns
11011  7.515795 ns
01011  8.04808 ns
01001  8.169306 ns
01000  102.844092 ns
01001  104.341986 ns
01011  104.384062 ns
01010  104.805346 ns
00010  105.492624 ns
00110  105.677067 ns
10110  106.394168 ns
10100  106.463266 ns
10101  106.88455 ns
11101  107.277532 ns
11111  203.304537 ns
11110  203.381457 ns
11100  204.183748 ns
11110  204.921427 ns
11111  204.980901 ns
11110  205.342711 ns
10110  206.131539 ns
00110  207.033083 ns
00100  303.304537 ns
00101  303.381457 ns
00001  303.397549 ns
00011  304.183748 ns
00001  304.921427 ns
01001  304.998014 ns
01101  305.087887 ns
01100  305.342711 ns
01110  305.889788 ns
11110  306.130156 ns
11100  403.304537 ns
11110  404.183748 ns
11111  404.341986 ns
10111  405.492624 ns
10011  405.543999 ns
00011  406.394168 ns
01011  406.775205 ns
11011  407.090685 ns
10011  407.144464 ns
00011  407.676749 ns
00001  503.304537 ns
00101  503.397549 ns
00100  503.725821 ns
00101  504.341986 ns
01101  505.492624 ns
01001  505.677067 ns
11001  506.394168 ns
01001  507.090685 ns
01101  507.367405 ns
01111  508.169306 ns
01101  603.576725 ns
01100  603.653645 ns
01101  603.998009 ns
01001  604.317497 ns
01000  604.971985 ns
01010  605.119398 ns
01000  605.193615 ns
01001  605.614899 ns
01101  605.91533 ns
00101  606.122623 ns
01101  607.146536 ns
00101  607.515795 ns
00111  703.576725 ns
00011  703.650399 ns
00010  703.653645 ns
00011  703.998009 ns
00010  704.971985 ns
00000  705.193615 ns
00001  705.614899 ns
00101  705.677067 ns
01101  706.122623 ns
01111  706.463266 ns
01110  706.88455 ns
11110  707.024167 ns
11010  803.279068 ns
11000  803.576725 ns
11001  803.998009 ns
10001  804.879533 ns
10000  902.844092 ns
10010  904.384062 ns
10011  904.805346 ns
00011  905.592791 ns
00111  905.91533 ns
01111  907.146536 ns
00111  907.515795 ns
10111  908.04808 ns
10101  1003.304537 ns
10001  1003.397549 ns
10011  1004.183748 ns
10111  1005.087887 ns
10101  1005.889788 ns
10001  1005.91533 ns
11001  1007.146536 ns
01001  1008.04808 ns
01011  1103.576725 ns
01010  1103.998009 ns
01110  1104.317497 ns
01100  1105.119398 ns
01110  1106.463266 ns
01111  1106.88455 ns
00111  1107.155452 ns
10111  1108.056996 ns
10101  1304.183748 ns
10100  1304.605032 ns
10000  1304.92452 ns
10100  1305.543999 ns
10110  1305.726421 ns
11110  1306.775205 ns
10110  1307.144464 ns
00110  1307.676749 ns
00010  1403.397549 ns
00110  1405.087887 ns
00010  1405.677067 ns
00000  1405.889788 ns
00100  1407.367405 ns
00110  1408.169306 ns
00111  1502.844092 ns
00101  1504.384062 ns
00100  1504.805346 ns
10100  1505.592791 ns
10000  1505.91533 ns
11000  1507.146536 ns
10000  1507.515795 ns
00000  1508.04808 ns
00001  1603.483007 ns
00000  1604.980901 ns
00010  1605.022977 ns
00011  1605.444261 ns
01011  1606.131539 ns
00011  1607.146536 ns
00111  1607.367405 ns
00101  1608.169306 ns
00001  1703.397549 ns
00000  1703.483007 ns
00010  1705.022977 ns
00110  1705.087887 ns
00111  1705.444261 ns
00101  1705.889788 ns
10101  1706.231706 ns
11101  1707.155452 ns
11001  1707.367405 ns
10001  1707.524711 ns
00001  1708.056996 ns
00011  1708.169306 ns
00001  1803.576725 ns
00000  1803.998009 ns
00100  1804.317497 ns
00101  1804.980901 ns
00111  1805.119398 ns
01111  1806.131539 ns
11111  1807.033083 ns
01111  1807.7296 ns
01101  1903.576725 ns
01100  1903.653645 ns
01101  1903.998009 ns
01001  1904.317497 ns
01000  1904.971985 ns
01010  1905.119398 ns
01000  1905.193615 ns
01001  1905.614899 ns
01101  1905.91533 ns
00101  1906.122623 ns
01101  1907.146536 ns
00101  1907.515795 ns
00111  2003.304537 ns
00011  2003.397549 ns
00001  2004.183748 ns
00101  2005.087887 ns
00111  2005.889788 ns
00011  2005.91533 ns
01011  2007.146536 ns
11011  2008.04808 ns
11111  2103.650399 ns
11011  2105.340737 ns
11001  2106.463266 ns
11000  2106.88455 ns
10000  2107.146536 ns
11000  2107.515795 ns
01000  2108.04808 ns
01010  2108.169306 ns
01000  2203.304537 ns
01001  2203.381457 ns
01101  2203.397549 ns
01100  2203.725821 ns
01110  2204.921427 ns
01111  2204.980901 ns
01110  2205.342711 ns
00110  2206.131539 ns
01110  2207.155452 ns
01010  2207.367405 ns
00010  2207.524711 ns
00000  2208.169306 ns
00001  2404.971985 ns
00101  2405.677067 ns
01101  2406.122623 ns
11101  2407.024167 ns
10101  2407.277532 ns
10001  2407.367405 ns
00001  2407.720684 ns
00011  2408.169306 ns
00001  2503.304537 ns
00011  2504.183748 ns
00010  2504.341986 ns
01010  2505.492624 ns
01110  2505.543999 ns
11110  2506.394168 ns
10110  2506.775205 ns
00110  2507.090685 ns
01110  2507.144464 ns
11110  2507.676749 ns
11100  2603.576725 ns
11101  2603.653645 ns
11100  2603.998009 ns
11000  2604.317497 ns
11010  2605.119398 ns
11000  2605.193615 ns
11001  2605.614899 ns
11101  2605.677067 ns
01101  2606.402344 ns
01111  2606.463266 ns
01110  2606.88455 ns
00110  2607.277532 ns
00111  2702.844092 ns
00101  2704.384062 ns
00100  2704.805346 ns
10100  2705.592791 ns
10000  2705.91533 ns
11000  2707.146536 ns
10000  2707.515795 ns
00000  2708.04808 ns
00001  2803.483007 ns
00000  2804.980901 ns
00010  2805.022977 ns
00011  2805.444261 ns
01011  2806.131539 ns
00011  2807.146536 ns
00111  2807.367405 ns
00101  2808.169306 ns
00001  2903.279068 ns
01001  2904.879533 ns
01101  2904.969406 ns
01100  2904.980901 ns
01110  2905.771307 ns
00110  2906.131539 ns
10110  2907.033083 ns
00110  2907.7296 ns
00010  3003.650399 ns
00110  3005.340737 ns
00100  3006.463266 ns
00101  3006.88455 ns
01101  3007.146536 ns
00101  3007.515795 ns
10101  3008.04808 ns
10111  3008.169306 ns
10011  3103.279068 ns
10001  3103.576725 ns
10000  3103.998009 ns
11000  3104.879533 ns
#22
11010  1.479216 ns
11110  1.977444 ns
10110  2.197683 ns
11110  3.889159 ns
11100  4.226067 ns
11000  4.724295 ns
01000  4.859992 ns
00000  4.944534 ns
00100  7.022753 ns
00110  7.234254 ns
01110  7.242992 ns
01100  7.443517 ns
01101  9.570706 ns
01001  11.999669 ns
01011  101.479216 ns
01111  101.977444 ns
00111  102.197683 ns
00110  103.818237 ns
01110  103.845441 ns
11110  104.816274 ns
01110  105.029673 ns
01100  107.234254 ns
01101  107.57109 ns
11101  108.782526 ns
11100  202.15563 ns
10100  202.182834 ns
00100  203.153667 ns
10100  203.367066 ns
10101  205.133675 ns
10111  205.356537 ns
00111  206.345111 ns
00101  210.080308 ns
00111  210.289571 ns
00110  212.41676 ns
00010  304.823498 ns
01010  305.043737 ns
01011  305.133675 ns
11011  306.345111 ns
11001  310.080308 ns
11011  310.289571 ns
11010  312.41676 ns
11110  314.845723 ns
11111  403.818237 ns
11110  405.133675 ns
11100  405.356537 ns
11110  405.5658 ns
11010  406.884414 ns
10010  407.104653 ns
10011  407.57109 ns
10010  407.692989 ns
00010  408.782526 ns
00000  410.080308 ns
00010  410.289571 ns
00011  412.41676 ns
00001  501.479216 ns
00101  501.977444 ns
01101  502.197683 ns
01100  503.818237 ns
00100  503.845441 ns
10100  504.816274 ns
10000  504.823498 ns
11000  505.043737 ns
11001  505.133675 ns
11011  505.5658 ns
11010  507.57109 ns
11011  507.692989 ns
01011  508.782526 ns
01111  510.121952 ns
01110  603.818237 ns
01111  605.018417 ns
01101  605.241279 ns
01001  607.022753 ns
00001  607.242992 ns
00101  610.006694 ns
00111  701.479216 ns
00011  701.977444 ns
01011  702.197683 ns
01010  703.818237 ns
00010  703.845441 ns
00000  704.226067 ns
00100  704.724295 ns
10100  704.816274 ns
11100  704.944534 ns
11101  705.018417 ns
11111  706.385154 ns
11110  708.512343 ns
11100  804.087728 ns
11000  804.585956 ns
10000  804.806195 ns
10010  805.241279 ns
10000  805.450542 ns
10001  807.577731 ns
10000  902.316205 ns
11000  902.343409 ns
11001  903.818237 ns
01001  904.859992 ns
01101  907.022753 ns
00101  907.242992 ns
00100  907.57109 ns
10100  908.782526 ns
10110  908.937827 ns
10111  911.065016 ns
10110  1002.316205 ns
11110  1002.343409 ns
11111  1003.818237 ns
11011  1004.823498 ns
01011  1004.859992 ns
00011  1005.043737 ns
00010  1005.133675 ns
00000  1005.5658 ns
10000  1006.345111 ns
10100  1007.022753 ns
11100  1007.242992 ns
11101  1007.57109 ns
11100  1007.692989 ns
01100  1008.782526 ns
01110  1010.080308 ns
01100  1010.289571 ns
01101  1012.41676 ns
01001  1014.845723 ns
01011  1101.479216 ns
01111  1101.977444 ns
00111  1102.197683 ns
01111  1103.728584 ns
11111  1104.699417 ns
11011  1106.244631 ns
11111  1106.862178 ns
10111  1107.082417 ns
10110  1302.316205 ns
11110  1302.343409 ns
11111  1303.818237 ns
01111  1304.816274 ns
01011  1306.884414 ns
00011  1307.104653 ns
00001  1310.080308 ns
00011  1310.289571 ns
00010  1312.41676 ns
00110  1314.845723 ns
00100  1401.479216 ns
00000  1401.977444 ns
01000  1402.197683 ns
01001  1402.316205 ns
00001  1402.343409 ns
00000  1403.818237 ns
01000  1403.845441 ns
01010  1404.32527 ns
01110  1404.823498 ns
00110  1405.043737 ns
00111  1502.316205 ns
01111  1502.343409 ns
01110  1503.818237 ns
11110  1504.859992 ns
11010  1507.022753 ns
10010  1507.242992 ns
10011  1507.57109 ns
00011  1508.782526 ns
00001  1508.937827 ns
00000  1511.065016 ns
00010  1601.479216 ns
00110  1601.977444 ns
00111  1602.15563 ns
01111  1602.182834 ns
00111  1602.197683 ns
10111  1603.367066 ns
11111  1603.889159 ns
11110  1605.908483 ns
11010  1607.022753 ns
01010  1607.119919 ns
00010  1607.242992 ns
00000  1607.27522 ns
00100  1609.090685 ns
00101  1609.402409 ns
00111  1701.479216 ns
00011  1701.977444 ns
01011  1702.197683 ns
00011  1703.728584 ns
00001  1704.32527 ns
10001  1704.699417 ns
10101  1704.823498 ns
11101  1705.043737 ns
11100  1705.908483 ns
11000  1706.862178 ns
10000  1707.082417 ns
00000  1707.119919 ns
00010  1707.27522 ns
00011  1709.402409 ns
00010  1802.15563 ns
01010  1802.182834 ns
11010  1803.153667 ns
01010  1803.367066 ns
01000  1805.241279 ns
01010  1805.450542 ns
01011  1807.577731 ns
01111  1810.006694 ns
01110  1903.818237 ns
01111  1905.018417 ns
01101  1905.241279 ns
01001  1907.022753 ns
00001  1907.242992 ns
00101  1910.006694 ns
00100  2002.316205 ns
01100  2002.343409 ns
01101  2003.818237 ns
01001  2004.823498 ns
11001  2004.859992 ns
10001  2005.043737 ns
10000  2005.133675 ns
10010  2005.5658 ns
00010  2006.345111 ns
00110  2007.022753 ns
01110  2007.242992 ns
01111  2007.57109 ns
01110  2007.692989 ns
11110  2008.782526 ns
11100  2010.080308 ns
11110  2010.289571 ns
11111  2012.41676 ns
11011  2014.845723 ns
11001  2101.479216 ns
11101  2101.977444 ns
10101  2102.197683 ns
11101  2103.889159 ns
11111  2104.226067 ns
11011  2104.724295 ns
01011  2104.859992 ns
00011  2104.944534 ns
00111  2107.022753 ns
00101  2107.234254 ns
01101  2107.242992 ns
01111  2107.443517 ns
01110  2109.570706 ns
01010  2111.999669 ns
01000  2201.479216 ns
01100  2201.977444 ns
01101  2202.15563 ns
00101  2202.182834 ns
01101  2202.197683 ns
11101  2203.367066 ns
10101  2203.728584 ns
10001  2204.823498 ns
11001  2205.043737 ns
11000  2205.133675 ns
01000  2206.345111 ns
01100  2206.862178 ns
00100  2207.082417 ns
00000  2210.121952 ns
00010  2401.479216 ns
00110  2401.977444 ns
01110  2402.197683 ns
01111  2403.818237 ns
00111  2403.845441 ns
10111  2404.816274 ns
00111  2405.029673 ns
00011  2409.090685 ns
00010  2503.818237 ns
00011  2505.133675 ns
00001  2505.356537 ns
00011  2505.5658 ns
00111  2506.884414 ns
01111  2507.104653 ns
01110  2507.57109 ns
01111  2507.692989 ns
11111  2508.782526 ns
11101  2510.080308 ns
11111  2510.289571 ns
11110  2512.41676 ns
11100  2601.479216 ns
11000  2601.977444 ns
10000  2602.197683 ns
10001  2602.316205 ns
11001  2602.343409 ns
11000  2603.818237 ns
10000  2603.845441 ns
10001  2605.018417 ns
00001  2606.229853 ns
00101  2606.244631 ns
00111  2606.385154 ns
00110  2608.512343 ns
00111  2702.316205 ns
01111  2702.343409 ns
01110  2703.818237 ns
11110  2704.859992 ns
11010  2707.022753 ns
10010  2707.242992 ns
10011  2707.57109 ns
00011  2708.782526 ns
00001  2708.937827 ns
00000  2711.065016 ns
00010  2801.479216 ns
00110  2801.977444 ns
00111  2802.15563 ns
01111  2802.182834 ns
00111  2802.197683 ns
10111  2803.367066 ns
11111  2803.889159 ns
11110  2805.908483 ns
11010  2807.022753 ns
01010  2807.119919 ns
00010  2807.242992 ns
00000  2807.27522 ns
00100  2809.090685 ns
00101  2809.402409 ns
00100  2902.15563 ns
01100  2902.182834 ns
11100  2903.153667 ns
01100  2903.367066 ns
01110  2904.087728 ns
01010  2904.585956 ns
00010  2904.806195 ns
00110  2908.853143 ns
00100  3001.479216 ns
00000  3001.977444 ns
01000  3002.197683 ns
00000  3003.889159 ns
00010  3004.226067 ns
00110  3004.724295 ns
10110  3004.859992 ns
11110  3004.944534 ns
11010  3007.022753 ns
11000  3007.234254 ns
10000  3007.242992 ns
10010  3007.443517 ns
10011  3009.570706 ns
10111  3011.999669 ns
10101  3104.087728 ns
10001  3104.585956 ns
11001  3104.806195 ns
11011  3105.241279 ns
11001  3105.450542 ns
11000  3107.577731 ns
#23
10000  4.516718 ns
10100  4.796769 ns
10110  5.6031 ns
10010  6.287494 ns
10011  6.317307 ns
10001  7.347877 ns
11001  7.463277 ns
01001  8.603281 ns
00001  103.775414 ns
00101  103.811606 ns
00001  104.055465 ns
00101  106.287494 ns
01101  106.651414 ns
11101  107.791418 ns
10101  203.699545 ns
10001  203.979596 ns
11001  205.801815 ns
11011  206.013537 ns
11111  206.081866 ns
11110  206.160814 ns
11111  206.727744 ns
10111  208.510626 ns
10110  208.600027 ns
00110  209.65063 ns
01110  302.994431 ns
01010  303.030623 ns
01110  303.274482 ns
01100  304.091006 ns
01110  306.013537 ns
01111  306.160814 ns
01110  306.727744 ns
11110  309.245958 ns
10110  405.801815 ns
10010  406.081866 ns
11010  406.651414 ns
11011  406.740815 ns
10011  408.748374 ns
00011  409.825959 ns
00001  504.010975 ns
00101  504.695369 ns
00100  504.725182 ns
00110  505.755752 ns
01110  506.651414 ns
01111  506.740815 ns
11111  507.791418 ns
01111  509.825959 ns
01101  603.170863 ns
01001  603.855257 ns
01000  603.88507 ns
00000  604.516718 ns
00100  604.796769 ns
00110  604.91564 ns
00111  607.31493 ns
00101  608.489018 ns
00100  608.636295 ns
00101  609.203225 ns
00111  703.170863 ns
00110  703.88507 ns
00010  704.028504 ns
00000  705.6031 ns
00100  706.287494 ns
00101  706.317307 ns
01101  707.225529 ns
01100  707.31493 ns
11100  708.365533 ns
11110  708.489018 ns
11111  708.636295 ns
11110  709.203225 ns
11100  803.170863 ns
10100  803.175139 ns
11100  803.699545 ns
11101  803.88507 ns
11111  805.173425 ns
11110  805.320702 ns
10110  805.801815 ns
10111  805.887632 ns
10011  806.081866 ns
10001  808.489018 ns
10000  808.636295 ns
10001  809.203225 ns
11001  904.516718 ns
11101  904.796769 ns
11111  906.629806 ns
11110  906.777083 ns
11111  907.344013 ns
10111  907.463277 ns
00111  908.603281 ns
10111  909.862227 ns
11111  1002.994431 ns
11011  1003.030623 ns
11111  1003.274482 ns
11101  1004.091006 ns
10101  1004.516718 ns
10001  1004.796769 ns
11001  1007.463277 ns
01001  1008.603281 ns
01011  1103.170863 ns
00011  1103.775414 ns
00010  1103.88507 ns
00110  1104.055465 ns
00111  1105.320702 ns
01111  1105.801815 ns
01011  1106.081866 ns
01111  1106.287494 ns
01101  1107.347877 ns
01111  1108.489018 ns
01110  1108.636295 ns
00110  1108.748374 ns
00111  1109.203225 ns
10111  1109.888378 ns
10101  1304.822117 ns
10001  1305.506511 ns
10000  1305.536324 ns
11000  1305.801815 ns
11100  1306.081866 ns
11110  1306.566894 ns
10110  1308.748374 ns
00110  1309.888378 ns
01110  1504.516718 ns
01010  1504.796769 ns
01000  1506.629806 ns
01001  1506.777083 ns
01000  1507.344013 ns
00000  1507.463277 ns
10000  1508.603281 ns
00000  1509.862227 ns
01000  1603.992312 ns
01100  1604.028504 ns
00100  1604.516718 ns
00110  1605.088887 ns
00100  1608.489018 ns
00101  1609.203225 ns
01101  1705.801815 ns
01001  1706.081866 ns
01011  1708.489018 ns
01010  1708.636295 ns
00010  1708.748374 ns
00011  1709.203225 ns
10011  1709.888378 ns
00011  1711.721439 ns
00001  1803.170863 ns
00101  1803.855257 ns
00100  1803.88507 ns
00110  1804.91564 ns
00100  1805.173425 ns
00101  1805.320702 ns
00100  1805.887632 ns
00110  1808.489018 ns
01110  1808.510626 ns
01111  1809.203225 ns
11111  1809.65063 ns
01111  1811.721439 ns
01101  1903.170863 ns
01001  1903.855257 ns
01000  1903.88507 ns
00000  1904.516718 ns
00100  1904.796769 ns
00110  1904.91564 ns
00111  1907.31493 ns
00101  1908.489018 ns
00100  1908.636295 ns
00101  1909.203225 ns
01101  2002.994431 ns
01001  2003.030623 ns
01101  2003.274482 ns
01111  2004.091006 ns
00111  2004.516718 ns
00011  2004.796769 ns
01011  2007.463277 ns
11011  2008.603281 ns
10011  2104.516718 ns
10111  2104.796769 ns
10101  2105.6031 ns
10001  2106.287494 ns
10000  2106.317307 ns
10010  2107.347877 ns
11010  2107.463277 ns
01010  2108.603281 ns
01000  2204.010975 ns
01100  2204.695369 ns
01101  2204.725182 ns
01111  2205.755752 ns
00111  2205.801815 ns
00101  2206.013537 ns
00001  2206.081866 ns
00000  2206.160814 ns
00001  2206.727744 ns
00000  2208.600027 ns
01000  2403.992312 ns
01100  2404.028504 ns
01000  2404.272363 ns
01010  2405.088887 ns
00010  2407.225529 ns
00011  2407.31493 ns
10011  2408.365533 ns
00011  2410.400074 ns
01011  2505.801815 ns
01111  2506.081866 ns
00111  2506.651414 ns
00110  2506.740815 ns
01110  2508.748374 ns
11110  2509.825959 ns
11100  2603.170863 ns
10100  2603.775414 ns
10101  2603.88507 ns
10001  2604.055465 ns
10011  2605.6031 ns
10111  2606.287494 ns
10110  2606.317307 ns
10100  2607.347877 ns
10110  2608.489018 ns
10111  2608.636295 ns
10110  2609.203225 ns
00110  2611.721439 ns
01110  2704.516718 ns
01010  2704.796769 ns
01000  2706.629806 ns
01001  2706.777083 ns
01000  2707.344013 ns
00000  2707.463277 ns
10000  2708.603281 ns
00000  2709.862227 ns
01000  2803.992312 ns
01100  2804.028504 ns
00100  2804.516718 ns
00110  2805.088887 ns
00100  2808.489018 ns
00101  2809.203225 ns
01101  2903.175139 ns
01001  2903.211331 ns
00001  2903.699545 ns
00011  2904.271714 ns
01011  2905.801815 ns
01111  2906.081866 ns
00111  2908.510626 ns
00110  2908.600027 ns
10110  2909.65063 ns
00110  2911.685171 ns
01110  3004.516718 ns
01010  3004.796769 ns
01000  3005.6031 ns
01100  3006.287494 ns
01101  3006.317307 ns
01111  3007.347877 ns
00111  3007.463277 ns
10111  3008.603281 ns
10101  3103.170863 ns
11101  3103.175139 ns
10101  3103.699545 ns
10100  3103.88507 ns
10110  3105.173425 ns
10111  3105.320702 ns
11111  3105.801815 ns
11110  3105.887632 ns
11010  3106.081866 ns
11000  3108.489018 ns
11001  3108.636295 ns
11000  3109.203225 ns
#24
11001  5.698737 ns
10001  7.588177 ns
10011  7.887277 ns
11011  8.217994 ns
11111  8.244185 ns
11101  8.70541 ns
11001  8.950646 ns
01001  9.485472 ns
00001  102.622445 ns
00000  103.994427 ns
10000  104.51974 ns
10001  105.698737 ns
11001  106.322451 ns
11101  107.055103 ns
10101  204.500055 ns
10100  205.017705 ns
11100  205.936577 ns
01100  206.064074 ns
11100  206.39735 ns
11101  206.452941 ns
11001  206.669229 ns
11000  208.449549 ns
10000  208.678891 ns
10100  209.411543 ns
00100  209.495918 ns
00110  211.073014 ns
00111  306.452941 ns
00110  308.449549 ns
01110  308.678891 ns
01010  309.411543 ns
11010  309.495918 ns
11000  310.305293 ns
11100  310.662201 ns
11110  311.073014 ns
10110  402.622445 ns
10111  403.994427 ns
00111  404.51974 ns
01111  405.936577 ns
01110  406.452941 ns
00110  407.007258 ns
00111  408.449549 ns
10111  408.904553 ns
10011  409.411543 ns
00011  409.495918 ns
01011  502.622445 ns
01010  503.994427 ns
11010  504.51974 ns
11011  506.452941 ns
11010  508.066341 ns
11011  508.449549 ns
11001  508.641481 ns
11101  508.998389 ns
01101  509.495918 ns
01111  511.073014 ns
00111  602.622445 ns
00110  603.140095 ns
10110  604.186464 ns
00110  604.51974 ns
00111  605.806243 ns
00110  607.419643 ns
01110  607.588177 ns
01111  607.802851 ns
01101  607.994783 ns
00101  608.217994 ns
00001  608.351691 ns
10001  608.84922 ns
10101  608.950646 ns
00101  609.485472 ns
01101  702.622445 ns
01100  703.140095 ns
11100  704.186464 ns
01100  704.51974 ns
01101  707.419643 ns
01100  707.802851 ns
11100  708.84922 ns
11110  710.426316 ns
11111  805.806243 ns
10111  805.936577 ns
10011  806.669229 ns
10001  808.812916 ns
11001  902.622445 ns
11000  903.994427 ns
01000  904.51974 ns
00000  905.584401 ns
00001  906.102051 ns
00011  907.0011 ns
10011  907.14842 ns
11011  907.588177 ns
10011  908.217994 ns
10111  908.950646 ns
11111  1002.622445 ns
11110  1003.994427 ns
01110  1004.51974 ns
00110  1005.584401 ns
00111  1006.102051 ns
00110  1006.452941 ns
10110  1007.14842 ns
11110  1007.588177 ns
11111  1008.449549 ns
01111  1009.495918 ns
01101  1010.305293 ns
01001  1010.662201 ns
00001  1106.503831 ns
00011  1107.948853 ns
00111  1108.305761 ns
10111  1108.401126 ns
11111  1302.622445 ns
11110  1303.140095 ns
10110  1304.500055 ns
10111  1305.017705 ns
11111  1305.936577 ns
10111  1307.007258 ns
10101  1307.562979 ns
10001  1307.919887 ns
10000  1308.055177 ns
00000  1308.904553 ns
00100  1309.411543 ns
00110  1311.06185 ns
01110  1402.622445 ns
01111  1403.140095 ns
00111  1404.500055 ns
00110  1405.017705 ns
01110  1502.622445 ns
01111  1503.994427 ns
11111  1504.51974 ns
10111  1505.584401 ns
10110  1506.102051 ns
10100  1507.0011 ns
00100  1507.14842 ns
01100  1507.588177 ns
00100  1508.217994 ns
00000  1508.950646 ns
01000  1604.500055 ns
01001  1605.872037 ns
11001  1606.39735 ns
10001  1606.517496 ns
11001  1607.588177 ns
11011  1608.143898 ns
