UUU  0 ns
#1
U0U  3.957996 ns
U01  4.994801 ns
011  704.74231 ns
010  801.451795 ns
011  803.014726 ns
010  901.451795 ns
000  903.545187 ns
001  1001.451795 ns
101  1002.676964 ns
111  1002.977166 ns
110  1003.014726 ns
111  1003.038953 ns
101  1003.042772 ns
111  1102.574119 ns
110  1102.635906 ns
111  1103.014726 ns
011  1104.74231 ns
001  1302.574119 ns
000  1302.635906 ns
001  1303.014726 ns
101  1304.74231 ns
100  1401.451795 ns
110  1403.545187 ns
010  1502.676964 ns
011  1503.014726 ns
001  1503.042772 ns
101  1504.74231 ns
#247
100  201.057007 ns
110  201.337439 ns
010  201.624906 ns
000  202.77334 ns
100  300.991977 ns
101  301.15585 ns
001  301.591877 ns
011  302.740311 ns
111  400.991977 ns
110  401.057007 ns
100  401.337439 ns
000  401.624906 ns
001  402.950924 ns
011  403.231356 ns
111  500.991977 ns
011  501.591877 ns
111  501.624906 ns
101  502.740311 ns
100  502.950924 ns
110  503.231356 ns
010  600.991977 ns
011  601.057007 ns
010  601.15585 ns
000  601.337439 ns
100  700.991977 ns
101  701.15585 ns
001  701.591877 ns
011  702.740311 ns
111  800.991977 ns
110  801.057007 ns
100  801.337439 ns
000  801.624906 ns
001  802.950924 ns
011  803.231356 ns
010  901.057007 ns
000  901.337439 ns
001  901.788779 ns
011  902.77334 ns
010  902.950924 ns
000  903.231356 ns
100  1000.991977 ns
000  1001.591877 ns
100  1001.624906 ns
110  1002.740311 ns
111  1002.950924 ns
101  1003.231356 ns
001  1100.991977 ns
000  1101.057007 ns
001  1101.15585 ns
011  1101.337439 ns
111  1300.991977 ns
110  1301.057007 ns
111  1301.15585 ns
101  1301.337439 ns
100  1401.057007 ns
110  1401.337439 ns
111  1401.788779 ns
101  1402.77334 ns
100  1402.950924 ns
110  1403.231356 ns
010  1500.991977 ns
011  1501.15585 ns
111  1501.591877 ns
101  1502.740311 ns
#248
111  200.877845 ns
011  202.815061 ns
010  205.133239 ns
000  206.20386 ns
100  303.961872 ns
110  304.076614 ns
010  306.01383 ns
011  306.607342 ns
001  400.877845 ns
101  403.961872 ns
111  404.076614 ns
011  406.01383 ns
111  502.815061 ns
011  503.961872 ns
001  504.076614 ns
000  504.135127 ns
010  505.205748 ns
110  506.01383 ns
100  600.877845 ns
000  602.815061 ns
100  603.961872 ns
110  604.076614 ns
111  605.133239 ns
011  606.01383 ns
001  606.20386 ns
000  606.607342 ns
100  703.961872 ns
110  704.076614 ns
010  706.01383 ns
011  706.607342 ns
001  800.877845 ns
101  803.961872 ns
111  804.076614 ns
011  806.01383 ns
001  900.877845 ns
000  905.460531 ns
100  1002.815061 ns
000  1003.961872 ns
010  1004.076614 ns
011  1004.135127 ns
001  1005.205748 ns
101  1006.01383 ns
111  1100.877845 ns
011  1102.815061 ns
111  1103.961872 ns
101  1104.076614 ns
100  1105.133239 ns
000  1106.01383 ns
010  1106.20386 ns
011  1106.607342 ns
001  1300.877845 ns
101  1302.815061 ns
001  1303.961872 ns
011  1304.076614 ns
010  1305.133239 ns
110  1306.01383 ns
100  1306.20386 ns
101  1306.607342 ns
111  1400.877845 ns
110  1405.460531 ns
010  1503.961872 ns
000  1504.076614 ns
100  1506.01383 ns
101  1506.607342 ns
#249
001  201.987491 ns
011  202.148258 ns
001  203.511704 ns
000  205.582488 ns
100  301.796477 ns
110  301.957244 ns
010  302.512334 ns
011  302.97751 ns
001  402.275015 ns
011  403.511704 ns
111  501.796477 ns
101  501.957244 ns
111  502.275015 ns
110  504.345799 ns
010  602.512334 ns
011  602.97751 ns
001  603.511704 ns
000  605.582488 ns
100  701.796477 ns
110  701.957244 ns
010  702.512334 ns
011  702.97751 ns
001  802.275015 ns
011  803.511704 ns
001  902.148258 ns
011  902.275015 ns
010  902.452667 ns
000  903.511704 ns
100  1001.796477 ns
110  1001.957244 ns
100  1002.275015 ns
101  1004.345799 ns
001  1102.512334 ns
000  1102.97751 ns
010  1103.511704 ns
011  1105.582488 ns
111  1302.512334 ns
110  1302.97751 ns
100  1303.511704 ns
101  1305.582488 ns
111  1402.148258 ns
101  1402.275015 ns
100  1402.452667 ns
110  1403.511704 ns
010  1501.796477 ns
000  1501.957244 ns
100  1502.512334 ns
101  1502.97751 ns
#250
001  202.093767 ns
011  202.427999 ns
010  203.306996 ns
000  203.411268 ns
100  301.549811 ns
101  302.650769 ns
111  302.867312 ns
011  303.387075 ns
010  401.357461 ns
000  402.427999 ns
001  402.650769 ns
011  404.032072 ns
010  501.357461 ns
110  501.549811 ns
111  502.650769 ns
101  502.867312 ns
111  504.032072 ns
110  504.911069 ns
100  602.427999 ns
101  602.650769 ns
100  603.306996 ns
000  603.387075 ns
100  701.549811 ns
101  702.650769 ns
111  702.867312 ns
011  703.387075 ns
010  801.357461 ns
000  802.427999 ns
001  802.650769 ns
011  804.032072 ns
010  901.357461 ns
000  902.427999 ns
010  903.411268 ns
000  904.032072 ns
001  1001.357461 ns
101  1001.549811 ns
100  1002.650769 ns
110  1002.867312 ns
100  1004.032072 ns
101  1004.911069 ns
111  1102.427999 ns
110  1102.650769 ns
111  1103.306996 ns
011  1103.387075 ns
001  1302.427999 ns
000  1302.650769 ns
001  1303.306996 ns
101  1303.387075 ns
100  1401.357461 ns
110  1402.427999 ns
100  1403.411268 ns
110  1404.032072 ns
010  1501.549811 ns
011  1502.650769 ns
001  1502.867312 ns
101  1503.387075 ns
#251
111  200.720875 ns
110  201.736395 ns
100  202.50194 ns
000  204.960558 ns
010  301.016436 ns
110  303.475054 ns
010  304.012287 ns
011  304.187861 ns
001  400.720875 ns
011  401.016436 ns
010  401.736395 ns
000  402.50194 ns
010  404.223542 ns
011  405.239062 ns
001  501.016436 ns
101  503.475054 ns
111  504.223542 ns
110  505.239062 ns
100  600.720875 ns
110  601.016436 ns
111  601.736395 ns
101  602.50194 ns
001  604.012287 ns
000  604.187861 ns
010  701.016436 ns
110  703.475054 ns
010  704.012287 ns
011  704.187861 ns
001  800.720875 ns
011  801.016436 ns
010  801.736395 ns
000  802.50194 ns
010  804.223542 ns
011  805.239062 ns
001  900.720875 ns
000  901.736395 ns
010  902.50194 ns
000  904.223542 ns
001  905.136132 ns
000  905.239062 ns
010  1001.016436 ns
110  1003.475054 ns
100  1004.223542 ns
101  1005.239062 ns
111  1100.720875 ns
101  1101.016436 ns
100  1101.736395 ns
110  1102.50194 ns
010  1104.012287 ns
011  1104.187861 ns
001  1300.720875 ns
011  1301.016436 ns
010  1301.736395 ns
000  1302.50194 ns
100  1304.012287 ns
101  1304.187861 ns
111  1400.720875 ns
110  1401.736395 ns
100  1402.50194 ns
110  1404.223542 ns
111  1405.136132 ns
110  1405.239062 ns
100  1501.016436 ns
000  1503.475054 ns
100  1504.012287 ns
101  1504.187861 ns
#252
001  201.369726 ns
011  201.547335 ns
001  202.943814 ns
000  203.82502 ns
001  300.830237 ns
101  301.631986 ns
001  301.904773 ns
011  302.082382 ns
010  400.567977 ns
011  400.830237 ns
111  401.369726 ns
101  401.547335 ns
001  401.904773 ns
011  402.082382 ns
010  500.567977 ns
011  500.830237 ns
111  501.904773 ns
101  502.082382 ns
111  503.000459 ns
110  503.881665 ns
111  600.830237 ns
011  601.369726 ns
001  601.547335 ns
101  601.631986 ns
001  601.904773 ns
011  602.082382 ns
001  602.943814 ns
000  603.82502 ns
001  700.830237 ns
101  701.631986 ns
001  701.904773 ns
011  702.082382 ns
010  800.567977 ns
011  800.830237 ns
111  801.369726 ns
101  801.547335 ns
001  801.904773 ns
011  802.082382 ns
010  900.567977 ns
000  901.547335 ns
001  1000.567977 ns
000  1000.830237 ns
100  1001.904773 ns
110  1002.082382 ns
100  1003.000459 ns
101  1003.881665 ns
100  1100.830237 ns
000  1101.369726 ns
010  1101.547335 ns
110  1101.631986 ns
010  1101.904773 ns
000  1102.082382 ns
010  1102.943814 ns
011  1103.82502 ns
010  1300.830237 ns
110  1301.369726 ns
100  1301.547335 ns
000  1301.631986 ns
100  1301.904773 ns
110  1302.082382 ns
100  1302.943814 ns
101  1303.82502 ns
100  1400.567977 ns
110  1401.547335 ns
111  1500.830237 ns
011  1501.631986 ns
111  1501.904773 ns
101  1502.082382 ns
#253
100  202.470657 ns
110  203.249633 ns
010  203.816444 ns
000  203.896271 ns
100  302.868633 ns
101  303.726769 ns
111  304.29679 ns
011  304.863601 ns
010  502.093933 ns
000  503.519547 ns
010  504.29679 ns
110  504.863601 ns
111  602.470657 ns
011  602.868633 ns
010  603.726769 ns
000  603.896271 ns
100  702.868633 ns
101  703.726769 ns
111  704.29679 ns
011  704.863601 ns
001  903.249633 ns
000  904.67458 ns
001  1002.093933 ns
011  1003.519547 ns
001  1004.29679 ns
101  1004.863601 ns
100  1102.470657 ns
000  1102.868633 ns
001  1103.726769 ns
011  1103.896271 ns
010  1302.470657 ns
110  1302.868633 ns
111  1303.726769 ns
101  1303.896271 ns
111  1403.249633 ns
110  1404.67458 ns
010  1502.868633 ns
011  1503.726769 ns
001  1504.29679 ns
101  1504.863601 ns
#254
111  202.473001 ns
011  202.535556 ns
001  203.006579 ns
000  204.125492 ns
100  302.869395 ns
110  303.340418 ns
010  304.213053 ns
011  305.591681 ns
001  401.389168 ns
011  402.473001 ns
111  402.535556 ns
011  404.213053 ns
001  501.389168 ns
101  502.535556 ns
001  502.869395 ns
000  503.041659 ns
010  503.340418 ns
110  504.213053 ns
100  602.473001 ns
101  604.125492 ns
001  604.213053 ns
000  605.591681 ns
100  702.869395 ns
110  703.340418 ns
010  704.213053 ns
011  705.591681 ns
001  801.389168 ns
011  802.473001 ns
111  802.535556 ns
011  804.213053 ns
001  901.389168 ns
011  902.473001 ns
001  903.006579 ns
000  903.914184 ns
010  1001.389168 ns
110  1002.535556 ns
010  1002.869395 ns
011  1003.041659 ns
001  1003.340418 ns
101  1004.213053 ns
111  1102.473001 ns
110  1104.125492 ns
010  1104.213053 ns
011  1105.591681 ns
001  1302.473001 ns
000  1304.125492 ns
100  1304.213053 ns
101  1305.591681 ns
111  1401.389168 ns
101  1402.473001 ns
111  1403.006579 ns
110  1403.914184 ns
010  1502.869395 ns
000  1503.340418 ns
100  1504.213053 ns
101  1505.591681 ns
#255
100  202.355306 ns
110  204.324999 ns
100  205.205274 ns
000  205.554314 ns
001  301.649205 ns
101  303.820922 ns
111  304.70783 ns
011  305.937145 ns
010  400.772573 ns
011  401.649205 ns
010  402.355306 ns
011  403.382597 ns
010  500.772573 ns
011  501.649205 ns
010  503.382597 ns
000  503.622541 ns
010  504.70783 ns
110  505.937145 ns
111  601.649205 ns
110  602.355306 ns
010  603.820922 ns
000  605.205274 ns
001  701.649205 ns
101  703.820922 ns
111  704.70783 ns
011  705.937145 ns
010  800.772573 ns
011  801.649205 ns
010  802.355306 ns
011  803.382597 ns
010  900.772573 ns
011  902.355306 ns
010  903.382597 ns
000  904.324999 ns
001  1000.772573 ns
000  1001.649205 ns
001  1003.382597 ns
011  1003.622541 ns
001  1004.70783 ns
101  1005.937145 ns
100  1101.649205 ns
101  1102.355306 ns
001  1103.820922 ns
011  1105.205274 ns
010  1301.649205 ns
011  1302.355306 ns
111  1303.820922 ns
101  1305.205274 ns
100  1400.772573 ns
101  1402.355306 ns
100  1403.382597 ns
110  1404.324999 ns
111  1501.649205 ns
011  1503.820922 ns
001  1504.70783 ns
101  1505.937145 ns
#256
111  202.564705 ns
101  202.668786 ns
001  202.839072 ns
000  203.114641 ns
010  302.103399 ns
110  302.377766 ns
010  304.044629 ns
011  304.542505 ns
001  402.668786 ns
000  403.114641 ns
010  404.597184 ns
011  405.043039 ns
001  502.103399 ns
101  502.377766 ns
111  504.597184 ns
110  505.043039 ns
100  602.668786 ns
101  603.114641 ns
001  604.044629 ns
000  604.542505 ns
010  702.103399 ns
110  702.377766 ns
010  704.044629 ns
011  704.542505 ns
001  802.668786 ns
000  803.114641 ns
010  804.597184 ns
011  805.043039 ns
001  902.564705 ns
011  902.668786 ns
010  903.114641 ns
011  903.336948 ns
001  904.597184 ns
000  905.043039 ns
010  1002.103399 ns
110  1002.377766 ns
100  1004.597184 ns
101  1005.043039 ns
111  1102.668786 ns
110  1103.114641 ns
010  1104.044629 ns
011  1104.542505 ns
001  1302.668786 ns
000  1303.114641 ns
100  1304.044629 ns
101  1304.542505 ns
111  1402.564705 ns
101  1402.668786 ns
100  1403.114641 ns
101  1403.336948 ns
111  1404.597184 ns
110  1405.043039 ns
100  1502.103399 ns
000  1502.377766 ns
100  1504.044629 ns
101  1504.542505 ns
#257
001  201.44075 ns
011  201.979706 ns
010  202.828745 ns
000  203.434433 ns
100  301.935199 ns
101  302.340854 ns
111  302.474155 ns
011  302.938367 ns
010  400.843237 ns
110  401.44075 ns
111  402.340854 ns
011  402.938367 ns
010  500.843237 ns
110  501.44075 ns
010  501.935199 ns
011  502.340854 ns
001  502.474155 ns
000  502.834092 ns
100  502.938367 ns
110  503.43978 ns
111  602.340854 ns
110  602.828745 ns
010  602.938367 ns
000  603.434433 ns
100  701.935199 ns
101  702.340854 ns
111  702.474155 ns
011  702.938367 ns
010  800.843237 ns
110  801.44075 ns
111  802.340854 ns
011  802.938367 ns
010  900.843237 ns
000  901.979706 ns
001  1000.843237 ns
101  1001.44075 ns
001  1001.935199 ns
000  1002.340854 ns
010  1002.474155 ns
011  1002.834092 ns
111  1002.938367 ns
101  1003.43978 ns
100  1102.340854 ns
101  1102.828745 ns
001  1102.938367 ns
011  1103.434433 ns
010  1302.340854 ns
011  1302.828745 ns
111  1302.938367 ns
101  1303.434433 ns
100  1400.843237 ns
110  1401.979706 ns
010  1501.935199 ns
011  1502.340854 ns
001  1502.474155 ns
101  1502.938367 ns
#258
001  202.317913 ns
011  202.570445 ns
001  202.751688 ns
000  202.813122 ns
100  301.990998 ns
110  302.424773 ns
010  302.447215 ns
011  303.254952 ns
111  501.990998 ns
101  502.424773 ns
111  503.284501 ns
110  503.527178 ns
010  602.447215 ns
000  602.570445 ns
001  602.813122 ns
000  603.254952 ns
100  701.990998 ns
110  702.424773 ns
010  702.447215 ns
011  703.254952 ns
001  902.751688 ns
000  903.12565 ns
100  1001.990998 ns
110  1002.424773 ns
100  1003.284501 ns
101  1003.527178 ns
001  1102.447215 ns
011  1102.570445 ns
010  1102.813122 ns
011  1103.254952 ns
111  1302.447215 ns
101  1302.570445 ns
100  1302.813122 ns
101  1303.254952 ns
111  1402.751688 ns
110  1403.12565 ns
010  1501.990998 ns
000  1502.424773 ns
100  1502.447215 ns
101  1503.254952 ns
#259
100  201.502419 ns
110  202.899556 ns
100  202.998141 ns
000  204.030623 ns
001  303.311338 ns
101  303.70056 ns
111  303.738655 ns
011  304.771137 ns
010  401.502419 ns
011  403.195889 ns
010  503.195889 ns
000  503.738655 ns
010  504.593026 ns
110  504.771137 ns
111  601.502419 ns
101  602.899556 ns
100  603.311338 ns
000  603.70056 ns
001  703.311338 ns
101  703.70056 ns
111  703.738655 ns
011  704.771137 ns
010  801.502419 ns
011  803.195889 ns
010  901.502419 ns
000  902.998141 ns
001  903.195889 ns
000  903.641401 ns
001  1003.195889 ns
011  1003.738655 ns
001  1004.593026 ns
101  1004.771137 ns
100  1101.502419 ns
110  1102.899556 ns
111  1103.311338 ns
011  1103.70056 ns
010  1301.502419 ns
000  1302.899556 ns
001  1303.311338 ns
101  1303.70056 ns
100  1401.502419 ns
110  1402.998141 ns
111  1403.195889 ns
110  1403.641401 ns
111  1503.311338 ns
011  1503.70056 ns
001  1503.738655 ns
101  1504.771137 ns
#260
111  202.206861 ns
110  203.260684 ns
100  203.568999 ns
000  204.360724 ns
001  300.813587 ns
011  302.135565 ns
111  302.796221 ns
011  302.92729 ns
010  400.813587 ns
000  402.135565 ns
001  402.37809 ns
011  403.568999 ns
010  500.813587 ns
000  502.135565 ns
010  502.318044 ns
011  502.37809 ns
111  502.92729 ns
110  503.371867 ns
111  600.813587 ns
101  602.135565 ns
111  602.206861 ns
011  602.796221 ns
010  603.260684 ns
000  603.568999 ns
001  700.813587 ns
011  702.135565 ns
111  702.796221 ns
011  702.92729 ns
010  800.813587 ns
000  802.135565 ns
001  802.37809 ns
011  803.568999 ns
010  902.37809 ns
000  903.568999 ns
001  1000.813587 ns
011  1002.135565 ns
001  1002.318044 ns
000  1002.37809 ns
100  1002.92729 ns
101  1003.371867 ns
100  1100.813587 ns
110  1102.135565 ns
100  1102.206861 ns
000  1102.796221 ns
001  1103.260684 ns
011  1103.568999 ns
010  1300.813587 ns
000  1302.135565 ns
010  1302.206861 ns
110  1302.796221 ns
111  1303.260684 ns
101  1303.568999 ns
100  1402.37809 ns
110  1403.568999 ns
111  1500.813587 ns
101  1502.135565 ns
001  1502.796221 ns
101  1502.92729 ns
#261
111  200.951707 ns
101  201.435051 ns
100  202.375633 ns
000  203.638976 ns
010  301.079844 ns
011  302.369017 ns
111  302.880243 ns
011  303.283769 ns
001  401.079844 ns
011  401.435051 ns
010  402.369017 ns
011  403.12775 ns
001  501.079844 ns
011  501.328532 ns
010  502.369017 ns
011  502.752458 ns
010  503.12775 ns
110  503.283769 ns
100  600.951707 ns
110  601.079844 ns
100  601.435051 ns
101  602.369017 ns
100  602.375633 ns
000  602.880243 ns
010  701.079844 ns
011  702.369017 ns
111  702.880243 ns
011  703.283769 ns
001  801.079844 ns
011  801.435051 ns
010  802.369017 ns
011  803.12775 ns
001  901.435051 ns
000  903.12775 ns
010  1001.079844 ns
000  1001.328532 ns
001  1002.369017 ns
000  1002.752458 ns
001  1003.12775 ns
101  1003.283769 ns
111  1100.951707 ns
101  1101.079844 ns
111  1101.435051 ns
110  1102.369017 ns
111  1102.375633 ns
011  1102.880243 ns
001  1300.951707 ns
011  1301.079844 ns
001  1301.435051 ns
000  1302.369017 ns
001  1302.375633 ns
101  1302.880243 ns
111  1401.435051 ns
110  1403.12775 ns
100  1501.079844 ns
101  1502.369017 ns
001  1502.880243 ns
101  1503.283769 ns
#262
001  202.37477 ns
011  202.422057 ns
001  203.292086 ns
000  204.946155 ns
001  301.611741 ns
101  302.365183 ns
111  302.41247 ns
011  302.613603 ns
010  401.372908 ns
011  401.611741 ns
010  501.372908 ns
011  501.611741 ns
111  502.365183 ns
101  502.41247 ns
111  502.643711 ns
110  504.29778 ns
111  601.611741 ns
011  602.613603 ns
001  603.292086 ns
000  604.946155 ns
001  701.611741 ns
101  702.365183 ns
111  702.41247 ns
011  702.613603 ns
010  801.372908 ns
011  801.611741 ns
010  901.372908 ns
000  902.422057 ns
001  1001.372908 ns
000  1001.611741 ns
100  1002.365183 ns
110  1002.41247 ns
100  1002.643711 ns
101  1004.29778 ns
100  1101.611741 ns
000  1102.613603 ns
010  1103.292086 ns
011  1104.946155 ns
010  1301.611741 ns
110  1302.613603 ns
100  1303.292086 ns
101  1304.946155 ns
100  1401.372908 ns
110  1402.422057 ns
111  1501.611741 ns
011  1502.365183 ns
001  1502.41247 ns
101  1502.613603 ns
#263
111  201.845056 ns
110  202.000412 ns
010  203.218712 ns
000  205.406999 ns
100  300.850184 ns
101  301.358142 ns
111  303.038471 ns
011  304.214673 ns
010  400.362181 ns
110  400.850184 ns
111  401.358142 ns
011  403.218712 ns
010  500.362181 ns
110  500.850184 ns
111  501.358142 ns
101  501.376272 ns
100  501.531628 ns
110  503.038471 ns
010  600.850184 ns
011  601.358142 ns
001  601.845056 ns
000  602.000412 ns
100  603.218712 ns
000  604.214673 ns
100  700.850184 ns
101  701.358142 ns
111  703.038471 ns
011  704.214673 ns
010  800.362181 ns
110  800.850184 ns
111  801.358142 ns
011  803.218712 ns
010  900.362181 ns
000  905.406999 ns
001  1000.362181 ns
101  1000.850184 ns
100  1001.358142 ns
110  1001.376272 ns
111  1001.531628 ns
101  1003.038471 ns
001  1100.850184 ns
000  1101.358142 ns
010  1101.845056 ns
011  1102.000412 ns
111  1103.218712 ns
011  1104.214673 ns
111  1300.850184 ns
110  1301.358142 ns
100  1301.845056 ns
101  1302.000412 ns
001  1303.218712 ns
101  1304.214673 ns
100  1400.362181 ns
110  1405.406999 ns
010  1500.850184 ns
011  1501.358142 ns
001  1503.038471 ns
101  1504.214673 ns
#264
001  201.593447 ns
011  202.763476 ns
010  203.386658 ns
000  204.13235 ns
001  302.409712 ns
101  302.61369 ns
001  302.785859 ns
011  303.955888 ns
111  401.593447 ns
011  402.785859 ns
010  502.480391 ns
110  502.785859 ns
100  503.226083 ns
110  503.955888 ns
010  601.593447 ns
011  602.409712 ns
111  602.61369 ns
011  602.785859 ns
010  603.386658 ns
000  604.13235 ns
001  702.409712 ns
101  702.61369 ns
001  702.785859 ns
011  703.955888 ns
111  801.593447 ns
011  802.785859 ns
010  901.389469 ns
000  902.763476 ns
001  1002.480391 ns
101  1002.785859 ns
111  1003.226083 ns
101  1003.955888 ns
001  1101.593447 ns
000  1102.409712 ns
100  1102.61369 ns
000  1102.785859 ns
001  1103.386658 ns
011  1104.13235 ns
111  1301.593447 ns
110  1302.409712 ns
010  1302.61369 ns
110  1302.785859 ns
111  1303.386658 ns
101  1304.13235 ns
100  1401.389469 ns
110  1402.763476 ns
111  1502.409712 ns
011  1502.61369 ns
111  1502.785859 ns
101  1503.955888 ns
#265
100  201.989099 ns
110  202.460023 ns
100  203.43472 ns
000  203.485292 ns
010  303.129824 ns
011  303.159175 ns
111  303.180396 ns
011  303.512316 ns
010  401.989099 ns
011  403.482298 ns
001  503.129824 ns
101  503.180396 ns
100  503.482298 ns
110  503.953222 ns
111  601.989099 ns
101  602.460023 ns
100  603.159175 ns
000  603.512316 ns
010  703.129824 ns
011  703.159175 ns
111  703.180396 ns
011  703.512316 ns
010  801.989099 ns
011  803.482298 ns
010  901.989099 ns
011  903.132151 ns
001  903.43472 ns
000  903.482298 ns
010  1003.129824 ns
110  1003.180396 ns
111  1003.482298 ns
101  1003.953222 ns
100  1101.989099 ns
110  1102.460023 ns
111  1103.159175 ns
011  1103.512316 ns
010  1301.989099 ns
000  1302.460023 ns
001  1303.159175 ns
101  1303.512316 ns
100  1401.989099 ns
101  1403.132151 ns
111  1403.43472 ns
110  1403.482298 ns
100  1503.129824 ns
101  1503.159175 ns
001  1503.180396 ns
101  1503.512316 ns
#266
111  202.246003 ns
101  203.352698 ns
001  203.878069 ns
000  204.234537 ns
010  302.01633 ns
110  302.259751 ns
111  303.15236 ns
011  303.648396 ns
111  402.259751 ns
011  403.878069 ns
001  502.01633 ns
101  502.259751 ns
111  502.507306 ns
110  503.389145 ns
010  503.648396 ns
110  503.878069 ns
010  602.259751 ns
011  603.15236 ns
001  603.352698 ns
000  604.234537 ns
010  702.01633 ns
110  702.259751 ns
111  703.15236 ns
011  703.648396 ns
111  802.259751 ns
011  803.878069 ns
001  902.246003 ns
000  904.770678 ns
010  1002.01633 ns
110  1002.259751 ns
100  1002.507306 ns
101  1003.389145 ns
001  1003.648396 ns
101  1003.878069 ns
001  1102.259751 ns
000  1103.15236 ns
010  1103.352698 ns
011  1104.234537 ns
111  1302.259751 ns
110  1303.15236 ns
100  1303.352698 ns
101  1304.234537 ns
111  1402.246003 ns
110  1404.770678 ns
100  1502.01633 ns
000  1502.259751 ns
001  1503.15236 ns
101  1503.648396 ns
#267
111  202.486933 ns
101  203.197216 ns
001  203.254546 ns
000  204.340478 ns
010  302.801604 ns
110  302.860362 ns
010  303.569217 ns
011  304.043162 ns
001  403.197216 ns
011  405.12245 ns
001  502.801604 ns
101  503.569217 ns
111  505.12245 ns
110  506.265712 ns
010  602.860362 ns
000  603.197216 ns
001  604.043162 ns
000  604.340478 ns
010  702.801604 ns
110  702.860362 ns
010  703.569217 ns
011  704.043162 ns
001  803.197216 ns
011  805.12245 ns
001  902.486933 ns
011  903.197216 ns
010  904.437346 ns
000  905.12245 ns
010  1002.801604 ns
110  1003.569217 ns
100  1005.12245 ns
101  1006.265712 ns
001  1102.860362 ns
011  1103.197216 ns
010  1104.043162 ns
011  1104.340478 ns
111  1302.860362 ns
101  1303.197216 ns
100  1304.043162 ns
101  1304.340478 ns
111  1402.486933 ns
101  1403.197216 ns
100  1404.437346 ns
110  1405.12245 ns
100  1502.801604 ns
000  1502.860362 ns
100  1503.569217 ns
101  1504.043162 ns
#268
111  200.492199 ns
101  201.508221 ns
001  201.801942 ns
000  202.551521 ns
010  301.342733 ns
110  301.468573 ns
010  302.652476 ns
011  302.837167 ns
001  400.492199 ns
011  401.342733 ns
111  401.468573 ns
101  401.508221 ns
001  401.801942 ns
011  403.104986 ns
001  501.342733 ns
101  501.468573 ns
001  501.801942 ns
101  502.652476 ns
111  503.104986 ns
110  504.148286 ns
100  600.492199 ns
110  601.342733 ns
010  601.468573 ns
000  601.508221 ns
001  602.551521 ns
000  602.837167 ns
010  701.342733 ns
110  701.468573 ns
010  702.652476 ns
011  702.837167 ns
001  800.492199 ns
011  801.342733 ns
111  801.468573 ns
101  801.508221 ns
001  801.801942 ns
011  803.104986 ns
001  900.492199 ns
011  901.508221 ns
001  903.104986 ns
000  903.170536 ns
010  1001.342733 ns
110  1001.468573 ns
010  1001.801942 ns
110  1002.652476 ns
100  1003.104986 ns
101  1004.148286 ns
111  1100.492199 ns
101  1101.342733 ns
001  1101.468573 ns
011  1101.508221 ns
010  1102.551521 ns
011  1102.837167 ns
001  1300.492199 ns
011  1301.342733 ns
111  1301.468573 ns
101  1301.508221 ns
100  1302.551521 ns
101  1302.837167 ns
111  1400.492199 ns
101  1401.508221 ns
111  1403.104986 ns
110  1403.170536 ns
100  1501.342733 ns
000  1501.468573 ns
100  1502.652476 ns
101  1502.837167 ns
#269
111  202.573631 ns
110  203.397565 ns
010  204.197552 ns
000  204.640327 ns
001  301.911024 ns
101  302.424225 ns
111  303.214168 ns
011  304.838089 ns
010  401.911024 ns
110  402.424225 ns
111  403.684351 ns
011  404.197552 ns
010  501.911024 ns
011  502.348789 ns
111  502.424225 ns
101  503.214168 ns
111  503.591551 ns
110  503.684351 ns
010  504.197552 ns
110  504.838089 ns
111  601.911024 ns
011  602.424225 ns
010  603.397565 ns
000  604.640327 ns
001  701.911024 ns
101  702.424225 ns
111  703.214168 ns
011  704.838089 ns
010  801.911024 ns
110  802.424225 ns
111  803.684351 ns
011  804.197552 ns
001  902.573631 ns
000  903.684351 ns
001  1001.911024 ns
000  1002.348789 ns
100  1002.424225 ns
110  1003.214168 ns
100  1003.591551 ns
101  1003.684351 ns
001  1004.197552 ns
101  1004.838089 ns
100  1101.911024 ns
000  1102.424225 ns
001  1103.397565 ns
011  1104.640327 ns
010  1301.911024 ns
110  1302.424225 ns
111  1303.397565 ns
101  1304.640327 ns
111  1402.573631 ns
110  1403.684351 ns
111  1501.911024 ns
011  1502.424225 ns
001  1503.214168 ns
101  1504.838089 ns
#270
111  200.720581 ns
011  202.323464 ns
001  202.472937 ns
000  202.484106 ns
100  301.23316 ns
110  301.382633 ns
010  303.089509 ns
011  303.249695 ns
001  400.208606 ns
011  400.720581 ns
001  500.208606 ns
101  501.23316 ns
111  501.382633 ns
110  501.972131 ns
100  600.720581 ns
101  602.484106 ns
001  603.089509 ns
000  603.249695 ns
100  701.23316 ns
110  701.382633 ns
010  703.089509 ns
011  703.249695 ns
001  800.208606 ns
011  800.720581 ns
001  900.208606 ns
011  900.720581 ns
001  902.472937 ns
000  902.48365 ns
010  1000.208606 ns
110  1001.23316 ns
100  1001.382633 ns
101  1001.972131 ns
111  1100.720581 ns
110  1102.484106 ns
010  1103.089509 ns
011  1103.249695 ns
001  1300.720581 ns
000  1302.484106 ns
100  1303.089509 ns
101  1303.249695 ns
111  1400.208606 ns
101  1400.720581 ns
111  1402.472937 ns
110  1402.48365 ns
010  1501.23316 ns
000  1501.382633 ns
100  1503.089509 ns
101  1503.249695 ns
#271
111  202.245718 ns
110  202.331953 ns
100  202.670879 ns
000  206.330845 ns
