UUU  0 ns
#1
U0U  3.957996 ns
U01  4.994801 ns
001  202.352858 ns
000  202.818707 ns
010  203.064113 ns
000  203.968989 ns
100  302.224699 ns
101  303.492841 ns
001  304.31643 ns
011  305.027685 ns
111  402.352858 ns
011  404.31643 ns
010  501.528862 ns
000  502.679144 ns
100  504.31643 ns
110  505.027685 ns
010  602.224699 ns
110  602.352858 ns
111  602.818707 ns
110  603.492841 ns
100  603.968989 ns
000  604.31643 ns
100  702.224699 ns
101  703.492841 ns
001  704.31643 ns
011  705.027685 ns
111  802.352858 ns
011  804.31643 ns
001  903.064113 ns
000  903.621 ns
001  1001.528862 ns
011  1002.679144 ns
111  1004.31643 ns
101  1005.027685 ns
001  1102.224699 ns
101  1102.352858 ns
100  1102.818707 ns
101  1103.492841 ns
111  1103.968989 ns
011  1104.31643 ns
111  1302.224699 ns
011  1302.352858 ns
010  1302.818707 ns
011  1303.492841 ns
001  1303.968989 ns
101  1304.31643 ns
111  1403.064113 ns
110  1403.621 ns
010  1502.224699 ns
011  1503.492841 ns
111  1504.31643 ns
101  1505.027685 ns
#7
111  200.575038 ns
011  200.891111 ns
010  204.08832 ns
000  204.654152 ns
100  301.327269 ns
110  302.546798 ns
010  302.862871 ns
011  303.275147 ns
001  400.575038 ns
101  401.327269 ns
111  402.546798 ns
011  402.862871 ns
111  500.891111 ns
011  501.327269 ns
001  502.546798 ns
101  502.862871 ns
100  502.992611 ns
110  503.558443 ns
100  600.575038 ns
000  600.891111 ns
100  601.327269 ns
110  602.546798 ns
010  602.862871 ns
011  603.275147 ns
010  604.08832 ns
000  604.654152 ns
100  701.327269 ns
110  702.546798 ns
010  702.862871 ns
011  703.275147 ns
001  800.575038 ns
101  801.327269 ns
111  802.546798 ns
011  802.862871 ns
001  900.575038 ns
000  902.838989 ns
100  1000.891111 ns
000  1001.327269 ns
010  1002.546798 ns
110  1002.862871 ns
111  1002.992611 ns
101  1003.558443 ns
111  1100.575038 ns
011  1100.891111 ns
111  1101.327269 ns
101  1102.546798 ns
001  1102.862871 ns
000  1103.275147 ns
001  1104.08832 ns
011  1104.654152 ns
001  1300.575038 ns
101  1300.891111 ns
001  1301.327269 ns
011  1302.546798 ns
111  1302.862871 ns
110  1303.275147 ns
111  1304.08832 ns
101  1304.654152 ns
111  1400.575038 ns
110  1402.838989 ns
010  1501.327269 ns
000  1502.546798 ns
100  1502.862871 ns
101  1503.275147 ns
#8
001  202.831337 ns
000  203.175333 ns
010  203.463279 ns
000  205.339413 ns
100  303.31947 ns
101  303.348979 ns
001  304.69145 ns
011  305.323392 ns
010  401.604006 ns
110  402.831337 ns
111  403.175333 ns
011  404.69145 ns
010  501.604006 ns
000  503.768086 ns
100  504.69145 ns
110  505.323392 ns
010  602.831337 ns
011  603.175333 ns
111  603.31947 ns
110  603.348979 ns
010  604.69145 ns
000  605.339413 ns
100  703.31947 ns
101  703.348979 ns
001  704.69145 ns
011  705.323392 ns
010  801.604006 ns
110  802.831337 ns
111  803.175333 ns
011  804.69145 ns
010  901.604006 ns
011  902.860846 ns
010  903.175333 ns
000  903.463279 ns
001  1001.604006 ns
011  1003.768086 ns
111  1004.69145 ns
101  1005.323392 ns
001  1102.831337 ns
000  1103.175333 ns
100  1103.31947 ns
101  1103.348979 ns
001  1104.69145 ns
011  1105.339413 ns
111  1302.831337 ns
110  1303.175333 ns
010  1303.31947 ns
011  1303.348979 ns
111  1304.69145 ns
101  1305.339413 ns
100  1401.604006 ns
101  1402.860846 ns
100  1403.175333 ns
110  1403.463279 ns
010  1503.31947 ns
011  1503.348979 ns
111  1504.69145 ns
101  1505.323392 ns
#9
100  203.459809 ns
000  203.731765 ns
010  204.471615 ns
000  205.909186 ns
001  303.694759 ns
101  303.847156 ns
001  303.968689 ns
011  304.587006 ns
010  401.159923 ns
011  403.459809 ns
010  501.159923 ns
000  503.6093 ns
100  503.847156 ns
110  504.587006 ns
111  603.459809 ns
110  603.694759 ns
010  603.968689 ns
000  605.909186 ns
001  703.694759 ns
101  703.847156 ns
001  703.968689 ns
011  704.587006 ns
010  801.159923 ns
011  803.459809 ns
010  901.159923 ns
011  903.457835 ns
010  903.459809 ns
000  904.471615 ns
001  1001.159923 ns
011  1003.6093 ns
111  1003.847156 ns
101  1004.587006 ns
100  1103.459809 ns
101  1103.694759 ns
001  1103.968689 ns
011  1105.909186 ns
010  1303.459809 ns
011  1303.694759 ns
111  1303.968689 ns
101  1305.909186 ns
100  1401.159923 ns
101  1403.457835 ns
100  1403.459809 ns
110  1404.471615 ns
111  1503.694759 ns
011  1503.847156 ns
111  1503.968689 ns
101  1504.587006 ns
#10
100  200.365775 ns
110  202.757611 ns
010  203.049808 ns
000  203.977225 ns
001  302.037656 ns
101  303.417461 ns
001  303.682103 ns
011  304.344878 ns
010  400.365775 ns
011  401.405361 ns
010  402.037656 ns
000  402.757611 ns
001  403.111269 ns
011  405.503105 ns
010  501.405361 ns
011  502.037656 ns
010  503.111269 ns
110  503.417461 ns
100  504.344878 ns
110  505.503105 ns
111  600.365775 ns
110  602.037656 ns
100  602.757611 ns
000  603.682103 ns
001  702.037656 ns
101  703.417461 ns
001  703.682103 ns
011  704.344878 ns
010  800.365775 ns
011  801.405361 ns
010  802.037656 ns
000  802.757611 ns
001  803.111269 ns
011  805.503105 ns
010  900.365775 ns
011  901.405361 ns
001  902.757611 ns
000  903.111269 ns
010  903.977225 ns
000  905.503105 ns
001  1001.405361 ns
000  1002.037656 ns
001  1003.111269 ns
101  1003.417461 ns
111  1004.344878 ns
101  1005.503105 ns
100  1100.365775 ns
101  1102.037656 ns
111  1102.757611 ns
011  1103.682103 ns
010  1300.365775 ns
011  1302.037656 ns
001  1302.757611 ns
101  1303.682103 ns
100  1400.365775 ns
101  1401.405361 ns
111  1402.757611 ns
110  1403.111269 ns
100  1403.977225 ns
110  1405.503105 ns
111  1502.037656 ns
011  1503.417461 ns
111  1503.682103 ns
101  1504.344878 ns
#11
001  201.035611 ns
011  203.099157 ns
001  203.167771 ns
000  203.534447 ns
001  301.205043 ns
101  301.435678 ns
001  302.19817 ns
011  304.261716 ns
010  400.804976 ns
110  401.035611 ns
111  401.205043 ns
011  402.19817 ns
010  500.804976 ns
011  501.205043 ns
111  502.19817 ns
101  504.04767 ns
111  504.261716 ns
110  504.414346 ns
010  601.035611 ns
011  601.205043 ns
111  601.435678 ns
011  602.19817 ns
001  603.167771 ns
000  603.534447 ns
001  701.205043 ns
101  701.435678 ns
001  702.19817 ns
011  704.261716 ns
010  800.804976 ns
110  801.035611 ns
111  801.205043 ns
011  802.19817 ns
010  900.804976 ns
000  903.099157 ns
001  1000.804976 ns
000  1001.205043 ns
100  1002.19817 ns
110  1004.04767 ns
100  1004.261716 ns
101  1004.414346 ns
001  1101.035611 ns
000  1101.205043 ns
100  1101.435678 ns
000  1102.19817 ns
010  1103.167771 ns
011  1103.534447 ns
111  1301.035611 ns
110  1301.205043 ns
010  1301.435678 ns
110  1302.19817 ns
100  1303.167771 ns
101  1303.534447 ns
100  1400.804976 ns
110  1403.099157 ns
111  1501.205043 ns
011  1501.435678 ns
111  1502.19817 ns
101  1504.261716 ns
#12
100  202.147924 ns
110  202.496346 ns
100  202.950408 ns
000  203.012667 ns
010  302.388302 ns
110  302.904623 ns
010  304.519576 ns
011  305.664838 ns
001  502.388302 ns
000  502.5233 ns
100  502.904623 ns
110  503.325784 ns
111  602.147924 ns
101  602.950408 ns
001  604.519576 ns
000  605.664838 ns
010  702.388302 ns
110  702.904623 ns
010  704.519576 ns
011  705.664838 ns
001  902.496346 ns
000  904.157929 ns
010  1002.388302 ns
011  1002.5233 ns
111  1002.904623 ns
101  1003.325784 ns
100  1102.147924 ns
110  1102.950408 ns
010  1104.519576 ns
011  1105.664838 ns
010  1302.147924 ns
000  1302.950408 ns
100  1304.519576 ns
101  1305.664838 ns
111  1402.496346 ns
110  1404.157929 ns
100  1502.388302 ns
000  1502.904623 ns
100  1504.519576 ns
101  1505.664838 ns
#13
111  201.49043 ns
110  202.193412 ns
100  202.814685 ns
000  203.135865 ns
010  301.443934 ns
110  301.765114 ns
111  301.882646 ns
011  303.300579 ns
001  401.443934 ns
011  401.49043 ns
111  401.765114 ns
110  402.193412 ns
100  402.814685 ns
110  403.017353 ns
010  403.135865 ns
011  403.720335 ns
001  501.443934 ns
101  501.765114 ns
111  503.017353 ns
110  503.720335 ns
100  601.443934 ns
110  601.49043 ns
010  601.765114 ns
011  601.882646 ns
010  602.193412 ns
000  602.814685 ns
100  603.135865 ns
000  603.300579 ns
010  701.443934 ns
110  701.765114 ns
111  701.882646 ns
011  703.300579 ns
001  801.443934 ns
011  801.49043 ns
111  801.765114 ns
110  802.193412 ns
100  802.814685 ns
110  803.017353 ns
010  803.135865 ns
